"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
,2002-08-21,2002-08-21,0,Hoppet,M000410,D044884,Björn,Skyddsjakt,Hona,,"Hoppet, Ivantjärn",Gävleborgs län (S),6740012,577217,Osäker,,Ockelbo (S),,2002-08-21,2002-08-21
,2002-08-22,2002-08-22,0,Hästberg,M000414,D044885,Björn,Skyddsjakt,Hona,,Hästberg,Gävleborgs län (S),6775680,549588,Osäker,,Ovanåker (S),,2002-08-22,2002-08-22
,2002-08-24,2002-08-24,0,Ringsjön-Öggelströmmen,M000419,D044889,Björn,Skyddsjakt,Hona,,Ringsjön-Öggelströmmen,Jämtlands län (S),7122808,506159,Osäker,,Strömsund (S),,2002-08-24,2002-08-24
,2002-08-26,2002-08-26,0,Ekträsk 1:11,M000423,D044865,Björn,Skyddsjakt,Hane,,Ekträsk 1:11,Västerbottens län (S),7161047,730376,Osäker,,Vindeln (S),,2002-08-26,2002-08-26
,2002-08-29,2002-08-29,0,Fageråskojan,M000426,D045436,Björn,Skyddsjakt,Hane,,Fageråskojan,Dalarnas län (S),6772943,502284,Osäker,,Orsa (S),,2002-08-29,2002-08-29
,2002-08-29,2002-08-29,0,Storflon,M000427,D045382,Björn,Skyddsjakt,Hona,,Storflon,Jämtlands län (S),7106990,543848,Osäker,,Strömsund (S),,2002-08-29,2002-08-29
,2002-09-03,2002-09-03,0,Svannäs 1:11,M000435,D044866,Björn,Skyddsjakt,Hona,,Svannäs 1:11,Västerbottens län (S),7159338,578586,Osäker,,Vilhelmina (S),,2002-09-03,2002-09-03
1.0,2002-09-03,2002-09-03,0,Gäddtjärn,M000436,D044881,Björn,Skyddsjakt,Hane,"49,00",Gäddtjärn,Dalarnas län (S),6842389,393813,Osäker,,Älvdalen (S),1,2002-09-03,2002-09-03
,2002-09-04,2002-09-04,0,Holmmyran,M000439,D044867,Björn,Skyddsjakt,Hane,,Holmmyran,Västerbottens län (S),7279021,596616,Osäker,,Sorsele (S),,2002-09-04,2002-09-04
,2002-09-04,2002-09-04,0,Ryflovallen,M000442,D044892,Björn,Skyddsjakt,Hona,,Ryflovallen,Jämtlands län (S),6869632,428767,Osäker,,Härjedalen (S),,2002-09-04,2002-09-04
,2002-09-04,2002-09-04,0,Storlätjärn,M000444,D044894,Björn,Skyddsjakt,Hane,,Storlätjärn,Jämtlands län (S),7083996,575429,Osäker,,Strömsund (S),,2002-09-04,2002-09-04
,2002-09-04,2002-09-04,0,Harrsjön,M000445,D044891,Björn,Skyddsjakt,Hona,,"Harrsjön, Lidsjöberg",Jämtlands län (S),7138598,521554,Osäker,,Strömsund (S),,2002-09-04,2002-09-04
,2002-09-04,2002-09-04,0,Rabbenvägen,M000446,D044893,Björn,Skyddsjakt,Hona,,Rabbenvägen,Jämtlands län (S),7167951,447907,Osäker,,Strömsund (S),,2002-09-04,2002-09-04
